General.ID,Order,Family,Genus,Species,Common.name,IUCN.status,Survivorship,Age,Sex,Year,Month,Day,Date.accuracy,Latitude,Longitude,Location.accuracy,Locality,State.or.Province,Country,Deterrent,Building.height,Pane.type,Data.collection.method
1976,Cathartiformes,Cathartidae,Coragyps,Coragyps atratus,Black Vulture,Least Concern,Alive,Adult,Unknown,2017,November,17,Exact,-23.47,-46.53,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1977,Cathartiformes,Cathartidae,Coragyps,Coragyps atratus,Black Vulture,Least Concern,Alive,Adult,Unknown,2017,October,3,Exact,-23.53,-46.53,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1978,Passeriformes,Turdidae,Turdus,Turdus leucomelas,Pale-breasted Thrush,Least Concern,Alive,Adult,Unknown,2017,September,29,Exact,-23.46,-46.52,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1979,Piciformes,Picidae,Colaptes,Colaptes melanochloros,Green-barred Woodpecker,Least Concern,Alive,Adult,Male,2017,September,6,Exact,-23.44,-46.55,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1980,Passeriformes,Thraupidae,Tachyphonus,Tachyphonus coronatus,Ruby-crowned Tanager,Least Concern,Alive,Adult,Female,2017,March,26,Exact,-23.47,-46.53,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1981,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2017,February,17,Exact,-23.46,-46.53,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1982,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2017,February,17,Exact,-23.46,-46.53,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1983,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Alive,Adult,Unknown,1993,November,16,Exact,-23.59,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,None,Low-rise,Translucent,Gov. Agency
1984,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Alive,Adult,Unknown,1994,December,16,Exact,-23.61,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Unknown,Gov. Agency
1985,Apodiformes,Trochilidae,Eupetomena,Eupetomena macroura,Swallow-tailed Hummingbird,Least Concern,Alive,Juvenile,Unknown,1995,May,26,Exact,-23.59,-46.67,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Unknown,Gov. Agency
1986,Apodiformes,Trochilidae,Eupetomena,Eupetomena macroura,Swallow-tailed Hummingbird,Least Concern,Alive,Adult,Unknown,1996,March,21,Exact,-23.71,-46.7,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Unknown,Gov. Agency
1987,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Alive,Adult,Unknown,1996,November,28,Exact,-23.56,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Unknown,Gov. Agency
1988,Passeriformes,Thraupidae,Thraupis,Thraupis palmarum,Palm Tanager,Least Concern,Alive,Adult,Unknown,1997,April,16,Exact,-23.58,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1989,Gruiformes,Rallidae,Gallinula,Gallinula galeata,Common Gallinule,Least Concern,Alive,Adult,Unknown,1997,November,19,Exact,-23.41,-46.87,Precise,Cajamar,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
1990,Passeriformes,Cotingidae,Procnias,Procnias nudicollis,Bare-throated Bellbird,Near Threatened,Dead,Unknown,Unknown,1999,June,9,Exact,-23.58,-46.73,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
1991,Passeriformes,Cotingidae,Pyroderus,Pyroderus scutatus,Red-ruffed Fruitcrow,Least Concern,Alive,Adult,Unknown,1999,August,23,Exact,-23.41,-46.76,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
1992,Apodiformes,Trochilidae,Eupetomena,Eupetomena macroura,Swallow-tailed Hummingbird,Least Concern,Alive,Unknown,Unknown,1999,August,27,Exact,-23.59,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1993,Coraciiformes,Alcedinidae,Megaceryle,Megaceryle torquata,Ringed Kingfisher,Least Concern,Alive,Unknown,Unknown,2000,April,10,Exact,-23.9,-46.84,Precise,Cotia,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
1994,Accipitriformes,Accipitridae,Buteogallus,Buteogallus lacernulatus,White-necked Hawk,Vulnerable,Alive,Unknown,Unknown,2000,April,10,Exact,-23.53,-46.67,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Unknown,Gov. Agency
1995,Apodiformes,Trochilidae,Eupetomena,Eupetomena macroura,Swallow-tailed Hummingbird,Least Concern,Alive,Adult,Unknown,2000,September,16,Exact,-23.6,-46.67,Precise,Sao Paulo,Sao Paulo,Brazil,None,Low-rise,Unknown,Gov. Agency
1996,Cathartiformes,Cathartidae,Coragyps,Coragyps atratus,Black Vulture,Least Concern,Alive,Unknown,Unknown,2000,October,20,Exact,-23.52,-46.71,Precise,Sao Paulo,Sao Paulo,Brazil,None,Taller,Translucent,Gov. Agency
1997,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,Least Concern,Alive,Adult,Female,2000,November,7,Exact,-23.57,-46.55,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
1998,Passeriformes,Mimidae,Mimus,Mimus saturninus,Chalk-browed Mockingbird,Least Concern,Alive,Juvenile,Unknown,2000,December,8,Exact,-23.62,-46.87,Precise,Cotia,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
1999,Apodiformes,Trochilidae,Eupetomena,Eupetomena macroura,Swallow-tailed Hummingbird,Least Concern,Alive,Unknown,Unknown,2001,January,5,Exact,-23.57,-46.69,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Reflective,Gov. Agency
2000,Passeriformes,Turdidae,Turdus,Turdus rufiventris,Rufous-bellied Thrush,Least Concern,Dead,Unknown,Unknown,2001,June,15,Exact,-23.64,-46.67,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
2001,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,Least Concern,Alive,Unknown,Unknown,2001,December,3,Exact,-23.55,-46.64,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Unknown,Gov. Agency
2002,Passeriformes,Turdidae,Turdus,Turdus rufiventris,Rufous-bellied Thrush,Least Concern,Alive,Adult,Unknown,2002,July,2,Exact,-23.59,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,None,Low-rise,Translucent,Gov. Agency
2003,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,Least Concern,Alive,Juvenile,Male,2002,November,12,Exact,-23.62,-46.68,Precise,Sao Paulo,Sao Paulo,Brazil,None,Taller,Unknown,Gov. Agency
2004,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Alive,Juvenile,Unknown,2003,April,9,Exact,-23.59,-46.63,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Unknown,Gov. Agency
2005,Strigiformes,Strigidae,Asio,Asio clamator,Striped Owl,Least Concern,Alive,Adult,Male,2003,April,10,Exact,-23.54,-46.74,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Reflective,Gov. Agency
2006,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Alive,Unknown,Unknown,2003,June,16,Exact,-23.58,-46.85,Precise,Cotia,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
2007,Apodiformes,Trochilidae,Eupetomena,Eupetomena macroura,Swallow-tailed Hummingbird,Least Concern,Alive,Juvenile,Unknown,2003,September,29,Exact,-23.58,-46.62,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
2008,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Roadside Hawk,Least Concern,Alive,Juvenile,Unknown,2004,January,27,Exact,-23.58,-46.63,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
